"Город","Id города","StableId","X","Y","Индекс","Название","Назначение","Название слоя","Застройщики","Субъект федерации","Район области","Район","Площадь","Этажность","Количество подъездов","Количество квартир","коэф семейности 2.7","Округ","Улица1","Дом1","Улица2","Дом2","Улица3","Дом3"
"Москва","4504222397630173","4504235282571343","37.478287676933","55.6415108248027","117513","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","30535","16","6","383","1034","Юго-Западный административный округ","Ленинский проспект","135 к3","","","",""
"Москва","4504222397630173","4504235282571345","37.4790619348764","55.6447064011487","117513","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","60518","16","12","764","2063","Юго-Западный административный округ","Ленинский проспект","129 к1","","","",""
"Москва","4504222397630173","4504235282571349","37.4755426050878","55.6430434375827","117513","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","60509","16","12","1149","3102","Юго-Западный административный округ","Ленинский проспект","135 к1","","","",""
"Москва","4504222397630173","4504235282571379","37.4812683768772","55.6432684013326","117513","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","20451","16","4","255","689","Юго-Западный административный округ","Ленинский проспект","129 к3","","","",""
"Москва","4504222397630173","4504235282572437","37.4879966685237","55.6451286717511","117513","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","67493","24","3","460","1242","Юго-Западный административный округ","Островитянова улица","4","","","",""
"Москва","4504222397630173","4504235282572468","37.4903898702722","55.6442456678175","117513","Заповедный, жилой комплекс","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","36448","24","2","165","446","Юго-Западный административный округ","Островитянова улица","6","","","",""
"Москва","4504222397630173","4504235282572582","37.4798142739268","55.6467538019209","117513","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","73092","30","8","590","1593","Юго-Западный административный округ","Ленинский проспект","123","","","",""
"Москва","4504222397630173","4504235282572626","37.4769623025628","55.645821151096","117513","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","49101","17","9","610","1647","Юго-Западный административный округ","Ленинский проспект","127","","","",""
"Москва","4504222397630173","4504235282572657","37.4735982016553","55.6441575238155","117513","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","86652","32","10","711","1920","Юго-Западный административный округ","Ленинский проспект","131","","","",""
"Москва","4504222397630173","4504235282573002","37.4730146560467","55.6421457034645","117513","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","47965","24","3","169","456","Юго-Западный административный округ","Ленинский проспект","137 к1","","","",""
"Москва","4504222397630173","4504235282573034","37.4705962116388","55.6411882500508","117513","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","28829","22","1","130","351","Юго-Западный административный округ","Ленинский проспект","139","","","",""
"Москва","4504222397630173","4504235282577877","37.5441611367175","55.5925702680785","117463","","Жилой дом","Жилые дома","","Москва город федерального значения","","Ясенево","29184","9","13","462","1247","Юго-Западный административный округ","Инессы Арманд улица","4 к2","","","",""
"Москва","4504222397630173","4504235282578083","37.5544752334836","55.6022747849665","117593","","Жилой дом","Жилые дома","","Москва город федерального значения","","Ясенево","19215","16","4","256","691","Юго-Западный административный округ","Новоясеневский проспект","25/20","","","",""
"Москва","4504222397630173","4504235282578215","37.5154110950384","55.5995482399019","117574","","Жилой дом","Жилые дома","","Москва город федерального значения","","Ясенево","9993","16","2","128","346","Юго-Западный административный округ","Одоевского проезд","11 к1","","","",""
"Москва","4504222397630173","4504235282578217","37.5146592051456","55.5998459317897","117574","","Жилой дом","Жилые дома","","Москва город федерального значения","","Ясенево","9991","16","2","128","346","Юго-Западный административный округ","Одоевского проезд","11 к2","","","",""
"Москва","4504222397630173","4504235282578218","37.5137403184415","55.5998962335094","117574","","Жилой дом","Жилые дома","","Москва город федерального значения","","Ясенево","9989","16","2","128","346","Юго-Западный административный округ","Одоевского проезд","11 к3","","","",""
"Москва","4504222397630173","4504235282578220","37.5128949139276","55.5996784454147","117574","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Ясенево","9604","16","2","120","324","Юго-Западный административный округ","Одоевского проезд","11 к4","","","",""
"Москва","4504222397630173","4504235282578221","37.5123536789689","55.5992666689965","117574","","Жилой дом","Жилые дома","","Москва город федерального значения","","Ясенево","9988","16","2","128","346","Юго-Западный административный округ","Одоевского проезд","11 к5","","","",""
"Москва","4504222397630173","4504235282578224","37.5122567507497","55.5987278334664","117574","","Жилой дом","Жилые дома","","Москва город федерального значения","","Ясенево","9987","16","2","128","346","Юго-Западный административный округ","Одоевского проезд","11 к6","","","",""
"Москва","4504222397630173","4504235282578245","37.5104151145858","55.5998130754241","117574","","Жилой дом","Жилые дома","","Москва город федерального значения","","Ясенево","9988","16","2","128","346","Юго-Западный административный округ","Одоевского проезд","7 к6","","","",""
